Model,Doğruluk,Duyarlılık,Özgüllük,Kesinlik,F1-Skoru,AUC
Logistic Regression,0.9171,0.9156,0.9187,0.9232,0.9194,0.9776
Decision Tree,0.9282,0.9222,0.9346,0.9377,0.9299,0.9763
Random Forest,0.9359,0.9189,0.9541,0.9552,0.9367,0.9865
SVM,0.9342,0.9189,0.9505,0.9520,0.9351,0.9829
KNN,0.9162,0.9255,0.9064,0.9134,0.9194,0.9750
Voting Classifier,0.9376,0.9255,0.9505,0.9523,0.9387,0.9861
Gradient Boosting,0.9385,0.9255,0.9523,0.9539,0.9395,0.9906
Neural Network,0.9350,0.9321,0.9382,0.9415,0.9368,0.9858
