,Logistic Regression,Decision Tree,Random Forest,SVM,KNN,Voting Classifier,Gradient Boosting,Neural Network
Logistic Regression,1.0,0.208412803684145,0.0035892030425683946,0.0020547189761318117,1.0,7.997751280618724e-05,0.002120000847683319,0.020921335337794035
Decision Tree,0.208412803684145,1.0,0.3056959402438384,0.4701007598741287,0.1799699315241071,0.20041546169285124,0.15558034779219368,0.40939548620991884
Random Forest,0.0035892030425683946,0.3056959402438384,1.0,0.8743670611628918,0.01217150134788965,0.8445192674729399,0.6776394844055176,1.0
SVM,0.0020547189761318117,0.4701007598741287,0.8743670611628918,1.0,0.008071487425268014,0.454498291015625,0.5321712241488487,1.0
KNN,1.0,0.1799699315241071,0.01217150134788965,0.008071487425268014,1.0,0.0012114973654306278,0.004134717305500615,0.012073797243122898
Voting Classifier,7.997751280618724e-05,0.20041546169285124,0.8445192674729399,0.454498291015625,0.0012114973654306278,1.0,1.0,0.7750969621959847
Gradient Boosting,0.002120000847683319,0.15558034779219368,0.6776394844055176,0.5321712241488487,0.004134717305500615,1.0,1.0,0.6773916019262775
Neural Network,0.020921335337794035,0.40939548620991884,1.0,1.0,0.012073797243122898,0.7750969621959847,0.6773916019262775,1.0
